Date,year,monthNum,month,day,trips,day_of_week,Fedholiday,cumulativeTrips,milesToday,totalMiles,Dailytrips-per-member,members,Annual-member-sign-ups,24-hour-passes,7-Day-Passes,maxtemp,meantemp,mintemp,Max-Dew-PointF,MeanDewPointF,MinDewpointF,Max-Humidity,MeanHumidity,Min-Humidity,Max-Sea-Level-PressureIn,MeanSeaLevelPressureIn, Min Sea Level PressureIn, Max VisibilityMiles,MeanVisibilityMiles, Min VisibilityMiles,maxwind,meanwind,maxgust,precip,rain,cloudsNum,sky,Events, WindDirDegrees
5/27/13,2013,5,May,27,9795,Monday,1,9795,27969.69,27969.69,0.569079712,17212,111,0,0,73,62,51,39,36,32,54,39,23,30.25,30.19,30.12,10,10,10,12,4,20,0,No rain,0,Sunny,,264
5/28/13,2013,5,May,28,5215,Tuesday,0,15010,16861.95,44831.64,0.263197739,19814,22,0,0,68,62,56,57,52,40,100,72,43,30.23,30.19,30.14,10,4,0,10,3,17,0.52,Rain,6,Cloudy,Fog-Rain,109
5/29/13,2013,5,May,29,10981,Wednesday,0,25991,36760.47,81592.11,0.499545082,21982,79,0,0,82,70,58,66,61,57,100,79,58,30.16,30.09,30,10,4,0,10,2,16,0,No rain,4,Cloudy,Fog,86
5/30/13,2013,5,May,30,9850,Thursday,0,35841,47006.02,128598.13,0.410758966,23980,168,0,0,90,81,72,66,63,59,73,56,38,30.13,30.09,30.06,10,9,6,10,5,17,0,No rain,1,Sunny,,252
5/31/13,2013,5,May,31,9253,Friday,0,45094,44902.41,173500.54,0.361304178,25610,488,0,0,90,83,75,68,63,56,69,52,35,30.12,30.06,29.99,10,9,7,10,4,18,0,No rain,0,Sunny,,257
6/1/13,2013,6,Jun,1,9852,Saturday,0,54946,47498.85,220999.39,0.368271531,26752,2165,0,0,90,82,73,68,65,62,73,59,45,30.02,29.97,29.9,10,10,9,12,4,20,0,No rain,0,Sunny,,240
6/2/13,2013,6,Jun,2,17590,Sunday,0,72536,70659.35,291658.75,0.622698952,28248,4723,4723,289,88,79,69,71,66,62,97,73,48,29.91,29.84,29.77,10,9,0,15,6,26,0.85,Rain,2,Sunny,Fog-Rain,248
6/3/13,2013,6,Jun,3,8599,Monday,0,81135,31547.41,323206.16,0.290398838,29611,1160,1160,221,78,72,66,69,67,46,97,71,45,29.89,29.85,29.8,10,5,0,12,3,19,0.87,Rain,7,Cloudy,Fog-Rain,65
6/4/13,2013,6,Jun,4,17589,Tuesday,0,98724,106170.69,429376.85,0.565744612,31090,2922,2922,394,75,66,57,47,41,36,57,43,29,30.12,30.01,29.91,10,10,10,13,5,21,0,No rain,1,Sunny,,300
6/5/13,2013,6,Jun,5,17433,Wednesday,0,116157,84370.07,513746.92,0.534426732,32620,2821,2821,279,74,66,58,53,44,35,78,57,36,30.21,30.16,30.12,10,10,10,10,4,19,0,No rain,0,Sunny,,87
6/6/13,2013,6,Jun,6,13732,Thursday,0,129889,46772.57,560519.49,0.404429522,33954,1872,1872,210,70,65,59,59,55,48,97,72,47,30.16,30.11,30.02,10,8,5,13,5,21,0.13,Little rain,4,Cloudy,Rain,146
6/7/13,2013,6,Jun,7,1393,Friday,0,131282,3307.2,563826.69,0.040436587,34449,66,66,11,63,61,59,61,59,57,100,95,90,30,29.84,29.64,8,2,0,20,8,32,4.16,Rain,8,Cloudy,Fog-Rain,74
6/8/13,2013,6,Jun,8,19899,Saturday,0,151181,65022.25,628848.94,0.564783016,35233,5013,5013,230,77,67,57,63,58,54,93,77,61,30.05,29.8,29.58,10,8,2,15,4,20,0.48,Rain,6,Cloudy,Rain,320
6/9/13,2013,6,Jun,9,23236,Sunday,0,174417,85115.3,713964.24,0.640198374,36295,5772,5772,275,80,72,63,60,58,54,84,63,42,30.17,30.13,30.07,10,10,9,10,2,17,0,No rain,1,Sunny,,313
6/10/13,2013,6,Jun,10,4504,Monday,0,178921,17306.08,731270.32,0.121447446,37086,290,290,82,70,66,62,66,63,61,100,84,68,30.16,30.04,29.84,9,3,0,14,6,25,1.38,Rain,7,Cloudy,Fog-Rain,105
6/11/13,2013,6,Jun,11,14638,Tuesday,0,193559,39973.38,771243.7,0.386288067,37894,1836,1836,273,80,72,64,67,64,57,100,79,58,29.82,29.73,29.62,10,6,2,16,6,30,0.09,Little rain,6,Cloudy,Rain,305
6/12/13,2013,6,Jun,12,18960,Wednesday,0,212519,53738.33,824982.03,0.48859683,38805,2767,2767,316,76,71,65,59,52,49,70,54,38,29.85,29.79,29.71,10,10,9,16,5,29,0,No rain,1,Sunny,,308
6/13/13,2013,6,Jun,13,8782,Thursday,0,221301,19604.96,844586.99,0.222656052,39442,701,701,119,69,62,55,61,58,51,93,74,55,29.84,29.63,29.48,10,6,0,20,7,31,1.26,Rain,7,Cloudy,Fog-Rain,89
6/14/13,2013,6,Jun,14,16423,Friday,0,237724,38374.15,882961.14,0.409775937,40078,2268,2268,211,72,63,53,60,53,51,93,73,53,29.89,29.71,29.55,10,8,2,18,5,28,0.38,Rain,6,Cloudy,Rain,4
6/15/13,2013,6,Jun,15,27276,Saturday,0,265000,76630.06,959591.2,0.67013906,40702,6107,6107,319,80,71,61,55,51,46,78,55,32,30.01,29.95,29.9,10,10,10,12,4,21,0,No rain,1,Sunny,,290
6/16/13,2013,6,Jun,16,23610,Sunday,0,288610,64453.79,1024044.99,0.568354156,41541,4413,4413,314,80,73,65,64,56,48,73,58,43,29.99,29.89,29.78,10,10,9,15,4,29,0,No rain,2,Sunny,,264
6/17/13,2013,6,Jun,17,21278,Monday,0,309888,45058.23,1069103.22,0.499906024,42564,2378,2378,530,84,77,69,66,64,60,84,68,51,29.91,29.88,29.84,10,9,2,10,3,23,0.01,Little rain,1,Sunny,Rain,257
6/18/13,2013,6,Jun,18,14826,Tuesday,0,324714,28597.85,1097701.08,0.341660137,43394,1236,1236,277,84,74,64,69,64,62,93,72,51,29.9,29.88,29.83,9,6,2,12,4,16,0.19,Little rain,5,Cloudy,Rain,74
6/19/13,2013,6,Jun,19,26267,Wednesday,0,350981,60836.02,1158537.1,0.59396694,44223,2678,2678,607,77,68,59,63,53,43,93,62,31,30.17,30.01,29.88,10,9,3,13,5,19,0.01,Little rain,2,Sunny,Rain,25
